Using device: cuda
Loading dataset from /content/drive/MyDrive/FM_project/dataset/skippd_train_embeddings.parquet...
Preprocessing dataset into tensors for speed...
Dataset created with 4453 samples.
Using precomputed embeddings. Skipping Vision Backbone load.
Loading Chronos Pipeline to get model...
/usr/local/lib/python3.12/dist-packages/huggingface_hub/utils/_auth.py:94: UserWarning: 
The secret `HF_TOKEN` does not exist in your Colab secrets.
To authenticate with the Hugging Face Hub, create a token in your settings tab (https://huggingface.co/settings/tokens), set it as secret in your Google Colab and restart your session.
You will be able to reuse this secret in all of your notebooks.
Please note that authentication is recommended but still optional to access public models or datasets.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
`torch_dtype` is deprecated! Use `dtype` instead!
Casting Projector to bfloat16...
trainable params: 1,206,912 || all params: 120,684,576 || trainable%: 1.0001
Starting Training...
Epoch 5 | Step 40 | Loss: 0.0872
Epoch 5 | Step 50 | Loss: 0.0550
Epoch 5 | Step 60 | Loss: 0.0685
Epoch 5 | Step 70 | Loss: 0.0696
Epoch 5 | Step 80 | Loss: 0.0492
Epoch 5 | Step 90 | Loss: 0.0667
Epoch 5 | Step 100 | Loss: 0.0626
Epoch 5 | Step 110 | Loss: 0.0683
Epoch 5 | Step 120 | Loss: 0.0618
Epoch 5 | Step 130 | Loss: 0.0609
Epoch 5 | Step 140 | Loss: 0.0615
Epoch 5 | Step 150 | Loss: 0.0867
Epoch 5 | Step 160 | Loss: 0.0771
Epoch 5 | Step 170 | Loss: 0.0557
Epoch 5 | Step 180 | Loss: 0.0822
Epoch 5 | Step 190 | Loss: 0.0621
Epoch 5 | Step 200 | Loss: 0.0693
Epoch 5 | Step 210 | Loss: 0.0471
Epoch 5 | Step 220 | Loss: 0.0664
Epoch 5 | Step 230 | Loss: 0.0636
Epoch 5 | Step 240 | Loss: 0.0797
Epoch 5 | Step 250 | Loss: 0.0674
Epoch 5 | Step 260 | Loss: 0.0528
Epoch 5 | Step 270 | Loss: 0.0821
Epoch 5 Complete. Avg Loss: 0.0636
Epoch 6 | Step 10 | Loss: 0.0485
Epoch 6 | Step 20 | Loss: 0.0629
Epoch 6 | Step 30 | Loss: 0.0593
Epoch 6 | Step 40 | Loss: 0.0636
Epoch 6 | Step 50 | Loss: 0.0529
Epoch 6 | Step 60 | Loss: 0.0683
Epoch 6 | Step 70 | Loss: 0.0661
Epoch 6 | Step 80 | Loss: 0.0627
Epoch 6 | Step 90 | Loss: 0.0570
Epoch 6 | Step 100 | Loss: 0.0561
Epoch 6 | Step 110 | Loss: 0.0549
Epoch 6 | Step 120 | Loss: 0.0645
Epoch 6 | Step 130 | Loss: 0.0761
Epoch 6 | Step 140 | Loss: 0.0788
Epoch 6 | Step 150 | Loss: 0.0602
Epoch 6 | Step 160 | Loss: 0.0688
Epoch 6 | Step 170 | Loss: 0.0642
