Using device: cuda
Loading dataset from /content/drive/MyDrive/FM_project/dataset/skippd_train_embeddings.parquet...
Preprocessing dataset into tensors for speed...
Dataset created with 4453 samples.
Using precomputed embeddings. Skipping Vision Backbone load.
No PCA initialization found. Training projector from scratch (Random Init).
Loading Chronos Pipeline to get model...
/usr/local/lib/python3.12/dist-packages/huggingface_hub/utils/_auth.py:94: UserWarning: 
The secret `HF_TOKEN` does not exist in your Colab secrets.
To authenticate with the Hugging Face Hub, create a token in your settings tab (https://huggingface.co/settings/tokens), set it as secret in your Google Colab and restart your session.
You will be able to reuse this secret in all of your notebooks.
Please note that authentication is recommended but still optional to access public models or datasets.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
`torch_dtype` is deprecated! Use `dtype` instead!
Casting Projector to bfloat16...
trainable params: 1,206,912 || all params: 120,684,576 || trainable%: 1.0001
Starting Training...
Epoch 5 | Step 30 | Loss: 0.0562
Epoch 5 | Step 40 | Loss: 0.0374
Epoch 5 | Step 50 | Loss: 0.0497
Epoch 5 | Step 60 | Loss: 0.0677
Epoch 5 | Step 70 | Loss: 0.0550
Epoch 5 | Step 80 | Loss: 0.0569
Epoch 5 | Step 90 | Loss: 0.0552
Epoch 5 | Step 100 | Loss: 0.0593
Epoch 5 | Step 110 | Loss: 0.0649
Epoch 5 | Step 120 | Loss: 0.0755
Epoch 5 | Step 130 | Loss: 0.0668
Epoch 5 | Step 140 | Loss: 0.0589
Epoch 5 | Step 150 | Loss: 0.0654
Epoch 5 | Step 160 | Loss: 0.0645
Epoch 5 | Step 170 | Loss: 0.0514
Epoch 5 | Step 180 | Loss: 0.0419
Epoch 5 | Step 190 | Loss: 0.0490
Epoch 5 | Step 200 | Loss: 0.0377
Epoch 5 | Step 210 | Loss: 0.0611
Epoch 5 | Step 220 | Loss: 0.0574
Epoch 5 | Step 230 | Loss: 0.0811
Epoch 5 | Step 240 | Loss: 0.0545
Epoch 5 | Step 250 | Loss: 0.0484
Epoch 5 | Step 260 | Loss: 0.0587
Epoch 5 | Step 270 | Loss: 0.0468
Epoch 5 Complete. Avg Loss: 0.0552
Saving Projector and Adapter...
Done!
